facility,zone,city,timestamp,road_incidents,road_closures,transit_disruption_index,major_event_index,travel_friction_index,source_category
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 09:00:00,4,1,0.24354731303617802,0.3593658273483023,0.8072537296667563,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 10:00:00,2,0,0.23995273339683088,0.4416011165498717,0.40433901099208447,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 11:00:00,1,1,0.5937506681513415,0.3410502017006606,0.541281231456521,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 12:00:00,2,1,0.13208447382264865,0.30032828846983395,0.5230558761337051,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 13:00:00,0,1,0.579521814710927,0.2874173634473193,0.40549792807746976,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 14:00:00,0,0,0.2483702827927482,0.390423585977421,0.15543686809700213,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 15:00:00,4,0,0.385756768684609,0.2364582168524112,0.640032702939221,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 16:00:00,2,0,0.1929393967730379,0.4204811455332501,0.38652888311376565,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 17:00:00,2,0,0.18283165575482319,0.47870154028546696,0.3965072024741532,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 18:00:00,2,0,0.2751078541673073,0.24875989169026308,0.3717573753387039,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 19:00:00,0,0,0.44039015555974576,0.5703972229595934,0.24879663260783935,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 20:00:00,3,0,0.16287847830410795,0.2820782677932447,0.467663192839664,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 21:00:00,1,0,0.11668228742308584,0.2600921046468203,0.2098913035007645,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 22:00:00,2,0,0.13660372860383488,0.2766673758730893,0.3391158667011534,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-05-31 23:00:00,1,0,0.35767123799734624,0.27248786126837443,0.2800952761182993,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 00:00:00,0,0,0.15425212197270527,0.06400008768751526,0.05727061344361084,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 01:00:00,1,1,0.06796856559873858,0.2146986279619798,0.3662648965192824,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 02:00:00,0,1,0.2724769332537708,0.03441092492008664,0.2638639447934749,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 03:00:00,0,0,0.1663157265128601,0.2322117980682089,0.0976549989986068,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 04:00:00,1,0,0.44029802547904967,0.020285836793407626,0.2477463312286836,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 05:00:00,1,0,0.09631243572785818,0.36895699151812195,0.2281380201377871,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 06:00:00,1,1,0.1566166691963697,0.27999597544472243,0.40545178197282244,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 07:00:00,5,0,0.3257168669265895,0.3301326375217503,0.76382990299423,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 08:00:00,1,0,0.5917651790391504,0.11552874348925746,0.31111057369859874,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 09:00:00,0,0,0.07631979243971151,0.2748574755749098,0.08183818650959938,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 10:00:00,1,0,0.07108928607584768,0.21724580584725153,0.1876990773876327,HYBRID_OPEN_SYNTHETIC
Stollery Children's Hospital,Edmonton,Edmonton,2026-06-01 11:00:00,1,2,0.37905806535067693,0.06543025990458053,0.6005309154771972,HYBRID_OPEN_SYNTHETIC
