snapshot_datetime,facility,ed_treatment_spaces,ed_occupied_spaces,inpatient_available_beds,pending_discharges,beds_cleaning,nurses_on_shift,physicians_on_shift,consult_queue,lab_median_tat_minutes,imaging_median_tat_minutes,ems_arrivals_expected,transfer_requests_waiting,synthetic_assumption
2026-05-28 08:00:00,Alberta Children's Hospital,44,42,16,14,2,18,9,2,124,163,0,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 09:00:00,Alberta Children's Hospital,48,39,4,13,3,32,10,14,92,122,5,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,Alberta Children's Hospital,53,46,0,5,6,34,3,14,51,88,3,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,Alberta Children's Hospital,37,31,5,22,7,12,5,2,72,141,6,3,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,Alberta Children's Hospital,26,24,9,9,0,38,11,9,99,148,9,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 13:00:00,Alberta Children's Hospital,48,45,15,13,4,32,4,0,97,90,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 14:00:00,Alberta Children's Hospital,53,52,9,4,1,18,8,3,53,116,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 15:00:00,Alberta Children's Hospital,60,51,5,12,4,25,12,3,127,132,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 16:00:00,Alberta Children's Hospital,27,14,1,15,1,25,10,7,96,89,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 17:00:00,Alberta Children's Hospital,33,27,4,24,3,31,12,12,100,75,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 18:00:00,Alberta Children's Hospital,49,42,6,17,3,20,4,10,107,154,2,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 19:00:00,Alberta Children's Hospital,43,39,9,16,4,37,8,3,53,112,7,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 20:00:00,Alberta Children's Hospital,30,27,5,16,0,20,9,2,81,100,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 21:00:00,Alberta Children's Hospital,40,35,3,16,6,31,10,5,94,136,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-28 22:00:00,Alberta Children's Hospital,27,26,0,14,6,21,6,1,43,78,5,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 23:00:00,Alberta Children's Hospital,42,39,5,9,3,32,3,10,81,124,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 00:00:00,Alberta Children's Hospital,42,28,0,20,6,28,7,3,69,70,4,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 01:00:00,Alberta Children's Hospital,47,36,2,19,3,12,13,14,104,62,1,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 02:00:00,Alberta Children's Hospital,53,41,8,18,3,28,8,8,57,126,2,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 03:00:00,Alberta Children's Hospital,47,40,6,18,6,21,8,3,129,151,4,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 04:00:00,Alberta Children's Hospital,29,25,13,9,6,29,11,1,77,95,2,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 05:00:00,Alberta Children's Hospital,40,34,17,3,5,28,7,2,115,78,2,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 06:00:00,Alberta Children's Hospital,32,32,6,4,5,27,5,4,43,117,7,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 07:00:00,Alberta Children's Hospital,28,20,7,18,1,18,12,0,89,157,3,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 08:00:00,Alberta Children's Hospital,45,35,12,14,6,29,4,6,89,58,1,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 09:00:00,Alberta Children's Hospital,33,21,13,25,3,21,10,11,125,183,7,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 10:00:00,Alberta Children's Hospital,47,47,1,17,4,39,4,9,69,189,1,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 11:00:00,Alberta Children's Hospital,36,33,3,9,2,27,4,9,86,111,2,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 12:00:00,Alberta Children's Hospital,54,35,0,14,2,38,7,7,96,103,6,0,Expanded operational feed is synthetic and assumption-based.
2026-05-29 13:00:00,Alberta Children's Hospital,56,47,15,7,3,22,9,11,52,141,2,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 14:00:00,Alberta Children's Hospital,56,52,10,9,1,35,3,14,75,165,1,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 15:00:00,Alberta Children's Hospital,27,21,17,4,5,30,4,0,105,180,5,3,Expanded operational feed is synthetic and assumption-based.
2026-05-29 16:00:00,Alberta Children's Hospital,53,48,5,1,1,36,12,10,46,97,3,6,Expanded operational feed is synthetic and assumption-based.
2026-05-29 17:00:00,Alberta Children's Hospital,35,27,3,9,5,25,6,4,108,173,5,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 18:00:00,Alberta Children's Hospital,40,34,1,2,7,20,4,11,59,160,5,4,Expanded operational feed is synthetic and assumption-based.
2026-05-29 19:00:00,Alberta Children's Hospital,26,22,3,7,7,31,7,5,101,156,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-29 20:00:00,Alberta Children's Hospital,56,48,12,1,1,21,5,14,93,187,7,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 21:00:00,Alberta Children's Hospital,30,22,1,18,6,39,11,3,104,87,3,2,Expanded operational feed is synthetic and assumption-based.
2026-05-29 22:00:00,Alberta Children's Hospital,39,39,16,10,2,32,11,0,72,145,3,5,Expanded operational feed is synthetic and assumption-based.
2026-05-29 23:00:00,Alberta Children's Hospital,53,47,15,10,4,26,12,7,67,108,6,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 00:00:00,Alberta Children's Hospital,60,46,2,21,1,27,12,8,102,180,3,4,Expanded operational feed is synthetic and assumption-based.
2026-05-30 01:00:00,Alberta Children's Hospital,50,48,2,6,7,35,10,9,102,96,8,1,Expanded operational feed is synthetic and assumption-based.
2026-05-30 02:00:00,Alberta Children's Hospital,40,35,16,16,7,22,4,3,105,160,7,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 03:00:00,Alberta Children's Hospital,29,23,15,2,2,17,7,4,67,126,9,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 04:00:00,Alberta Children's Hospital,30,19,4,3,5,19,10,3,122,142,5,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 05:00:00,Alberta Children's Hospital,37,30,1,8,3,17,7,10,114,104,9,6,Expanded operational feed is synthetic and assumption-based.
2026-05-30 06:00:00,Alberta Children's Hospital,59,48,16,13,3,39,4,8,106,149,8,2,Expanded operational feed is synthetic and assumption-based.
2026-05-30 07:00:00,Alberta Children's Hospital,38,33,2,3,5,17,5,6,43,148,8,4,Expanded operational feed is synthetic and assumption-based.
2026-05-28 08:00:00,Foothills Medical Centre,39,33,3,16,7,16,10,12,108,130,6,6,Expanded operational feed is synthetic and assumption-based.
2026-05-28 09:00:00,Foothills Medical Centre,30,27,5,19,2,17,12,13,112,55,8,5,Expanded operational feed is synthetic and assumption-based.
2026-05-28 10:00:00,Foothills Medical Centre,29,22,16,1,7,26,13,8,51,139,4,2,Expanded operational feed is synthetic and assumption-based.
2026-05-28 11:00:00,Foothills Medical Centre,44,35,14,1,0,23,11,6,122,188,0,0,Expanded operational feed is synthetic and assumption-based.
2026-05-28 12:00:00,Foothills Medical Centre,37,29,8,13,3,21,9,13,47,107,9,6,Expanded operational feed is synthetic and assumption-based.
